Blood Accumulated,Delta,Delta of Delta
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.18868,0.18868,0.18868
0.18868,0,-0.18868
0.18868,0,0
0.18868,0,0
0.18868,0,0
0.18868,0,0
0.18868,0,0
0.18868,0,0
0.18868,0,0
0.84906,0.66038,0.66038
1.1321,0.28302,-0.37736
1.1321,0,-0.28302
1.4151,0.28302,0.28302
1.4151,0,-0.28302
2.4528,1.0377,1.0377
5.1886,2.7358,1.6981
6.415,1.2264,-1.5094
7.2641,0.84906,-0.37734
7.9244,0.66038,-0.18868
8.5848,0.66038,0
9.5282,0.9434,0.28302
10.66,1.1321,0.1887
10.755,0.09434,-1.0378
10.849,0.09434,0
10.849,0,-0.09434
10.849,0,0
11.321,0.4717,0.4717
11.321,0,-0.4717
11.321,0,0
11.321,0,0
11.604,0.28302,0.28302
11.792,0.18868,-0.09434
11.792,0,-0.18868
11.792,0,0
11.792,0,0
11.792,0,0
11.792,0,0
11.792,0,0
11.887,0.09434,0.09434
12.264,0.37736,0.28302
12.264,0,-0.37736
12.264,0,0
12.736,0.4717,0.4717
12.736,0,-0.4717
12.736,0,0
12.736,0,0
12.736,0,0
12.736,0,0
12.736,0,0
13.019,0.28302,0.28302
13.113,0.09434,-0.18868
13.396,0.28302,0.18868
13.585,0.18868,-0.09434
13.774,0.18868,0
13.868,0.09434,-0.09434
13.868,0,-0.09434
13.962,0.09434,0.09434
13.962,0,-0.09434
13.962,0,0
13.962,0,0
13.962,0,0
13.962,0,0
13.962,0,0
13.962,0,0
13.962,0,0
13.962,0,0
13.962,0,0
13.962,0,0
14.977,1.0144,1.0144
15.622,0.64509,-0.3693
16.025,0.40288,-0.24221
16.465,0.44035,0.037469
16.844,0.3794,-0.060959
18.228,1.3837,1.0043
23.313,5.0852,3.7015
24.646,1.3324,-3.7528
25.797,1.1517,-0.18074
26.384,0.58643,-0.56523
26.565,0.18164,-0.40479
27.069,0.5032,0.32156
27.401,0.33212,-0.17108
27.772,0.37126,0.039138
27.866,0.093757,-0.2775
29.53,1.6645,1.5707
29.713,0.18242,-1.4821
32.572,2.8596,2.6772
