610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
5747.97,2405.97,697.86,505.49,1241.36,734.13,1998.66,2558.18,1798.15,12296.25,2167.64,737.09,6.51,28.11,73.00,113.25,161.76,117.75
5745.70,2405.00,697.86,505.49,1240.45,735.27,1997.70,2557.28,1795.02,12290.46,2163.56,737.09,6.51,28.11,72.07,113.25,160.97,117.05
5745.70,2404.02,697.86,505.49,1241.36,734.13,1996.75,2556.38,1796.58,12285.43,2165.89,737.09,6.51,28.11,71.15,112.31,160.17,116.34
5742.30,2404.02,697.86,505.49,1241.36,734.13,1996.28,2555.93,1796.19,12283.11,2165.89,736.15,6.51,28.11,71.15,112.31,160.17,115.64
5744.57,2403.05,697.86,505.49,1244.06,734.13,1994.37,2554.13,1795.80,12279.64,2164.72,737.09,6.51,28.11,71.15,111.36,159.38,115.64
5744.57,2403.05,697.86,505.49,1243.16,735.27,1994.85,2554.58,1796.19,12267.66,2164.72,737.09,6.51,28.11,70.22,111.36,158.59,114.93
6515.19,3362.52,888.76,660.37,1250.37,865.02,2683.45,3132.00,2219.49,14152.40,2032.27,519.80,2.79,18.74,35.11,59.46,75.33,50.77
6430.20,3464.79,924.27,684.20,1314.38,866.16,2915.36,3481.15,2462.27,14162.06,2070.20,519.80,3.72,19.68,39.73,59.46,80.09,50.77
6431.33,3360.57,889.64,660.37,1249.47,866.16,2680.59,3127.96,2215.97,14166.70,2030.52,520.74,2.79,18.74,35.11,59.46,75.33,50.77
6429.07,3386.87,889.64,660.37,1258.48,866.16,2682.97,3130.20,2266.48,14163.22,2035.77,519.80,2.79,18.74,36.04,59.46,76.12,50.77
6426.80,3359.59,889.64,660.37,1250.37,865.02,2679.16,3126.16,2217.14,14143.90,2032.27,519.80,2.79,18.74,35.11,59.46,75.33,50.77
6432.46,3358.62,889.64,660.37,1250.37,866.16,2682.50,3129.75,2216.36,14160.13,2032.27,519.80,2.79,18.74,35.11,59.46,75.33,50.77
6426.80,3358.62,889.64,660.37,1250.37,866.16,2682.02,3128.86,2215.97,14158.97,2028.77,519.80,2.79,18.74,35.11,59.46,75.33,50.77
6426.80,3359.59,889.64,660.37,1250.37,866.16,2682.97,3130.20,2217.14,14161.29,2032.27,519.80,2.79,18.74,35.11,59.46,75.33,50.77
6425.67,3361.54,889.64,661.22,1252.17,867.29,2684.40,3131.55,2219.10,14155.49,2031.69,520.74,2.79,18.74,35.11,59.46,75.33,51.47
6430.20,3360.57,889.64,661.22,1250.37,866.16,2683.45,3132.00,2219.49,14171.72,2032.86,520.74,2.79,18.74,36.04,59.46,75.33,51.47
6427.93,3359.59,889.64,660.37,1251.27,865.02,2682.02,3129.75,2218.32,14160.52,2031.11,518.87,2.79,18.74,35.11,59.46,75.33,51.47
6145.75,2824.83,780.44,567.61,1226.93,776.24,2329.15,2852.50,2014.30,12206.60,1770.29,648.12,11.17,42.17,180.18,189.69,273.56,222.11
6167.28,2997.24,800.86,583.78,1185.46,789.90,2385.82,2830.03,2018.22,12354.61,1779.04,558.20,7.44,31.86,114.58,134.96,180.79,148.78
6227.34,3027.43,809.74,589.74,1191.77,795.59,2450.58,2898.79,2058.94,12714.40,1853.14,585.36,6.51,29.05,94.25,116.08,157.00,126.92
6253.41,3036.20,811.51,591.44,1187.27,794.45,2472.96,2921.25,2071.08,12816.04,1874.15,592.86,6.51,29.05,94.25,117.03,157.00,124.10
6245.47,3041.07,810.62,592.29,1180.05,793.31,2481.06,2927.99,2074.22,12850.82,1886.99,596.60,6.51,29.05,97.02,118.91,159.38,126.21
6257.94,3044.97,812.40,593.14,1185.46,795.59,2489.15,2938.78,2073.04,12887.92,1895.15,599.41,6.51,29.99,98.87,120.80,160.97,127.62
