610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
2136.22,3031.33,826.61,503.79,535.49,458.69,277.63,322.19,1339.21,9081.71,493.04,159.22,242.89,1562.20,5090.37,4440.36,5544.18,6426.28
2136.22,3027.43,823.94,501.23,531.88,458.69,277.63,321.74,1312.59,9085.19,484.29,160.16,242.89,1561.26,5090.37,4434.70,5543.39,6419.23
2137.36,3022.56,824.83,502.08,532.78,457.55,277.15,322.19,1312.19,8965.39,487.79,159.22,242.89,1562.20,5091.29,4439.42,5544.18,6426.28
2140.76,3026.46,823.94,501.23,533.68,458.69,277.63,322.19,1314.54,9039.59,488.96,160.16,242.89,1562.20,5091.29,4439.42,5537.04,6426.28
3960.79,3162.83,841.70,533.57,564.33,544.05,291.44,347.35,2221.84,9020.65,605.07,171.39,243.82,1563.14,5094.98,4443.20,5548.94,6426.28
3660.48,3054.71,835.48,507.19,540.90,533.81,315.25,442.16,1423.40,9086.35,540.89,161.09,242.89,1562.20,5091.29,4439.42,5544.18,6426.98
2149.82,3038.15,826.61,502.94,535.49,459.83,275.25,319.94,1314.15,9082.87,491.88,160.16,242.89,1561.26,5086.67,4438.48,5537.84,6426.28
2157.75,3039.12,826.61,503.79,536.39,459.83,275.73,320.84,1319.63,9089.83,493.04,160.16,242.89,1562.20,5091.29,4438.48,5543.39,6425.57
2164.55,3040.10,827.49,504.64,537.29,460.96,275.25,320.84,1324.73,9084.80,494.21,161.09,242.89,1561.26,5091.29,4435.65,5542.59,6419.93
2177.02,3045.94,828.38,504.64,537.29,460.96,275.25,321.74,1329.82,9090.22,495.38,161.09,242.89,1562.20,5092.21,4440.36,5544.18,6426.98
2184.95,3045.94,829.27,505.49,538.19,463.24,275.25,321.74,1330.99,9091.37,494.79,162.03,242.89,1561.26,5086.67,4440.36,5537.84,6426.28
2201.95,3051.79,830.16,506.34,539.99,463.24,275.73,322.64,1338.43,9103.36,497.13,162.03,242.89,1562.20,5091.29,4438.48,5543.39,6424.87
4059.39,3302.12,861.23,540.38,577.86,592.99,527.17,844.34,2068.73,9819.84,627.83,270.67,243.82,1563.14,5097.76,4442.25,5552.90,6425.57
2390.08,3070.29,835.48,508.89,544.50,471.21,372.87,509.57,1585.91,9308.95,521.63,230.40,242.89,1562.20,5092.21,4445.08,5544.18,6430.51
2234.82,3062.50,831.93,507.19,544.50,466.65,275.73,324.43,1352.14,9118.81,500.63,163.90,242.89,1562.20,5092.21,4440.36,5536.25,6426.28
2245.02,3065.42,832.82,508.04,545.40,467.79,275.73,324.43,1356.05,9117.27,501.21,163.90,242.89,1561.26,5091.29,4435.65,5543.39,6419.23
2254.08,3066.40,833.71,508.89,545.40,467.79,275.25,325.33,1359.18,9128.09,502.38,163.90,242.89,1562.20,5091.29,4440.36,5542.59,6415.70
2268.82,3074.19,834.60,509.74,547.21,470.07,275.73,325.78,1363.88,9136.98,502.96,164.84,242.89,1561.26,5086.67,4440.36,5536.25,6425.57
2281.28,3078.09,836.37,510.59,549.01,471.21,276.20,326.68,1370.15,9139.68,504.71,164.84,242.89,1562.20,5091.29,4440.36,5542.59,6425.57
2294.88,3082.96,837.26,511.45,550.81,471.21,276.20,326.68,1376.02,9136.20,506.46,165.78,242.89,1561.26,5091.29,4433.76,5543.39,6417.82
2309.61,3084.90,838.15,511.45,550.81,474.62,276.68,328.03,1381.50,9100.65,507.05,165.78,242.89,1562.20,5090.37,4440.36,5541.01,6424.87
2320.95,3089.77,839.92,513.15,553.52,475.76,276.68,328.48,1385.03,9161.32,508.80,166.71,242.89,1561.26,5085.75,4439.42,5537.04,6424.87
2344.74,3092.70,840.81,514.00,555.32,476.90,277.15,329.83,1392.47,9161.32,509.96,166.71,242.89,1562.20,5089.44,4438.48,5541.80,6422.05
2359.48,3101.46,842.59,514.85,558.02,478.04,276.68,330.72,1401.48,9179.49,512.30,167.65,242.89,1560.32,5088.52,4432.81,5540.22,6415.00
2371.94,3106.33,844.36,516.55,558.93,478.04,277.63,331.17,1406.17,9165.19,512.88,167.65,242.89,1561.26,5087.59,4438.48,5539.42,6420.64
2378.74,3106.33,844.36,515.70,559.83,480.31,277.63,331.62,1408.13,9182.96,513.47,167.65,242.89,1561.26,5087.59,4438.48,5532.29,6419.23
2373.08,3103.41,842.59,515.70,558.02,479.17,277.15,330.72,1404.22,9184.12,512.88,167.65,242.89,1560.32,5086.67,4433.76,5537.84,6412.88
2330.01,3088.80,839.92,514.00,553.52,475.76,276.68,328.93,1385.42,9187.99,507.05,166.71,242.89,1561.26,5085.75,4437.53,5538.63,6418.52
