610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
5813.70,3067.37,932.26,593.99,876.25,666.97,2600.11,2921.70,2342.06,10573.05,1446.46,358.71,254.05,1606.24,5259.46,4639.50,5782.85,6697.74
5813.70,3068.34,932.26,593.99,876.25,666.97,2600.59,2921.25,2339.32,10573.43,1444.70,358.71,253.12,1604.37,5254.84,4640.44,5777.30,6699.15
5814.83,3069.32,932.26,593.99,877.15,666.97,2599.64,2921.25,2342.06,10569.57,1447.04,358.71,254.05,1606.24,5260.38,4640.44,5783.65,6697.74
5813.70,3069.32,932.26,593.99,877.15,668.11,2599.16,2920.35,2340.88,10569.57,1447.62,358.71,253.12,1604.37,5259.46,4633.83,5782.85,6688.58
5811.43,3067.37,931.37,593.99,877.15,666.97,2598.21,2918.56,2339.71,10567.25,1447.04,358.71,254.05,1605.31,5256.69,4638.55,5779.68,6693.51
5813.70,3070.29,932.26,593.99,878.05,668.11,2599.16,2920.80,2340.88,10573.05,1448.21,359.65,254.05,1606.24,5259.46,4640.44,5774.92,6696.33
5805.76,3069.32,930.49,593.99,877.15,666.97,2595.35,2916.31,2339.71,10557.59,1447.62,358.71,253.12,1604.37,5258.53,4634.78,5781.27,6687.87
5810.30,3069.32,931.37,593.99,877.15,668.11,2597.73,2919.01,2339.32,10569.57,1447.62,359.65,254.05,1605.31,5258.53,4639.50,5781.27,6694.92
5809.16,3069.32,931.37,593.14,876.25,666.97,2594.40,2914.51,2336.18,10568.02,1445.87,358.71,253.12,1604.37,5253.91,4639.50,5774.92,6694.22
5809.16,3069.32,931.37,593.99,877.15,668.11,2597.25,2917.21,2338.14,10568.80,1447.62,358.71,254.05,1605.31,5258.53,4639.50,5780.47,6694.22
5808.03,3069.32,931.37,593.99,877.15,666.97,2593.44,2913.17,2337.75,10554.50,1447.04,358.71,253.12,1603.43,5257.61,4634.78,5779.68,6686.46
5808.03,3069.32,931.37,593.99,877.15,668.11,2596.30,2916.31,2337.75,10567.25,1447.04,358.71,254.05,1605.31,5258.53,4640.44,5780.47,6693.51
5805.76,3068.34,931.37,593.99,876.25,668.11,2595.35,2915.41,2334.62,10564.54,1445.29,358.71,253.12,1604.37,5253.91,4639.50,5774.92,6692.81
5805.76,3069.32,931.37,593.99,877.15,668.11,2595.83,2915.86,2336.58,10565.70,1447.04,358.71,254.05,1605.31,5258.53,4640.44,5779.68,6693.51
5802.36,3069.32,930.49,593.99,876.25,666.97,2593.92,2914.51,2335.40,10557.59,1446.46,358.71,253.12,1603.43,5256.69,4634.78,5778.09,6685.05
5805.76,3071.27,931.37,593.99,877.15,668.11,2595.35,2914.96,2336.18,10566.48,1447.04,358.71,254.05,1605.31,5259.46,4641.38,5781.27,6694.22
5804.63,3069.32,930.49,593.99,877.15,666.97,2594.87,2914.06,2335.40,10563.77,1446.46,358.71,253.12,1604.37,5257.61,4640.44,5772.54,6692.81
5804.63,3070.29,929.60,593.14,877.15,666.97,2591.54,2910.47,2335.01,10552.18,1446.46,358.71,253.12,1603.43,5257.61,4635.72,5778.89,6685.75
5803.50,3069.32,930.49,593.99,877.15,666.97,2593.92,2913.61,2334.62,10561.84,1446.46,358.71,254.05,1604.37,5258.53,4639.50,5778.89,6691.40
5804.63,3070.29,931.37,593.14,876.25,668.11,2591.54,2910.02,2331.88,10565.70,1445.29,358.71,253.12,1604.37,5254.84,4641.38,5774.92,6694.22
5804.63,3070.29,930.49,593.99,877.15,668.11,2594.87,2913.61,2334.23,10566.86,1446.46,358.71,254.05,1605.31,5259.46,4642.33,5780.47,6694.92
5804.63,3070.29,930.49,593.99,877.15,666.97,2590.59,2909.12,2333.83,10552.95,1446.46,358.71,253.12,1604.37,5259.46,4637.61,5780.47,6687.17
5803.50,3071.27,930.49,593.99,877.15,668.11,2593.44,2912.27,2333.83,10565.32,1447.04,358.71,254.05,1605.31,5260.38,4642.33,5781.27,6694.22
5803.50,3071.27,930.49,593.99,877.15,668.11,2593.44,2912.27,2331.09,10566.09,1445.29,358.71,253.12,1604.37,5254.84,4642.33,5774.92,6694.22
5803.50,3070.29,930.49,593.99,877.15,668.11,2592.97,2911.37,2333.05,10565.70,1446.46,358.71,254.05,1605.31,5260.38,4643.27,5780.47,6694.92
5801.23,3070.29,930.49,593.99,877.15,666.97,2592.02,2911.37,2332.27,10561.45,1445.87,358.71,253.12,1603.43,5260.38,4636.67,5780.47,6686.46
5801.23,3070.29,930.49,593.99,877.15,666.97,2592.02,2910.92,2332.27,10561.84,1446.46,358.71,254.05,1605.31,5259.46,4642.33,5780.47,6692.10
5802.36,3070.29,930.49,593.99,877.15,668.11,2592.49,2910.47,2332.27,10564.93,1446.46,358.71,254.05,1605.31,5260.38,4643.27,5774.13,6694.92
5794.43,3070.29,928.71,593.14,877.15,666.97,2588.21,2906.43,2331.88,10549.86,1446.46,357.77,253.12,1603.43,5260.38,4638.55,5780.47,6687.17
5801.23,3069.32,929.60,593.99,876.25,668.11,2591.54,2909.12,2331.09,10563.00,1445.87,358.71,254.05,1605.31,5260.38,4643.27,5780.47,6687.17
5798.96,3069.32,928.71,593.14,875.35,666.97,2587.73,2905.53,2328.35,10559.13,1444.12,357.77,253.12,1603.43,5255.76,4642.33,5774.13,6692.10
5797.83,3070.29,929.60,593.99,877.15,666.97,2590.59,2908.67,2330.70,10560.29,1445.87,358.71,254.05,1604.37,5261.31,4643.27,5780.47,6692.81
