610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
5847.70,2740.08,757.35,552.29,1234.14,770.55,1495.30,2014.01,1905.05,11852.22,1632.59,632.19,8.38,26.24,73.92,125.52,191.89,114.93
5855.63,2743.00,759.13,553.14,1237.75,771.69,1504.35,2025.24,1908.58,11861.10,1639.00,634.07,8.38,26.24,74.84,126.46,192.68,115.64
5854.50,2742.03,759.13,553.14,1239.55,771.69,1510.06,2031.53,1908.58,11852.22,1643.09,634.07,8.38,26.24,74.84,126.46,192.68,115.64
5864.69,2743.00,760.02,553.99,1243.16,773.96,1518.16,2040.97,1910.14,11861.49,1649.51,636.88,8.38,26.24,74.84,126.46,193.48,115.64
5874.89,2744.95,760.90,554.85,1244.96,775.10,1525.30,2049.06,1910.93,11875.02,1654.76,638.75,8.38,26.24,74.84,126.46,193.48,115.64
9069.59,3205.69,926.05,689.30,1248.57,933.31,2041.99,2719.94,1965.36,12984.15,1990.85,634.07,7.44,27.18,78.54,127.41,188.72,125.51
6344.07,3328.42,882.54,655.26,1234.14,853.64,2460.58,2904.63,2190.52,13964.97,1978.59,504.82,2.79,18.74,33.26,57.57,73.74,49.36
6790.58,3331.35,883.43,656.96,1238.65,867.29,2554.40,3004.38,2195.21,14044.19,1994.93,521.68,2.79,18.74,34.19,59.46,73.74,51.47
6373.53,3331.35,883.43,657.82,1240.45,859.33,2606.30,3058.31,2196.78,14009.41,2003.68,510.44,2.79,18.74,34.19,58.51,74.54,50.06
6376.93,3332.32,884.32,657.82,1241.36,860.47,2638.21,3092.01,2198.74,14013.66,2008.93,511.37,2.79,18.74,34.19,58.51,74.54,50.06
6375.80,3331.35,883.43,657.82,1242.26,860.47,2646.78,3101.45,2197.96,14011.34,2009.52,511.37,2.79,18.74,34.19,58.51,74.54,50.06
6375.80,3328.42,883.43,656.96,1241.36,861.60,2646.30,3100.55,2196.00,14017.53,2007.77,512.31,2.79,18.74,34.19,58.51,73.74,50.06
6372.40,3332.32,884.32,657.82,1242.26,861.60,2649.64,3104.59,2200.70,14014.44,2010.68,511.37,2.79,18.74,34.19,58.51,73.74,50.06
6370.13,3331.35,882.54,656.96,1242.26,860.47,2645.83,3099.65,2197.17,13995.50,2010.68,511.37,2.79,18.74,34.19,58.51,73.74,50.06
6370.13,3332.32,884.32,657.82,1242.26,861.60,2649.64,3104.59,2197.96,14007.87,2009.52,511.37,2.79,18.74,34.19,58.51,73.74,50.06
6372.40,3332.32,884.32,657.82,1243.16,862.74,2645.35,3100.55,2194.82,14011.34,2007.77,512.31,2.79,18.74,34.19,58.51,73.74,50.06
6372.40,3333.29,884.32,657.82,1245.86,863.88,2646.30,3102.34,2196.78,13971.54,2007.77,512.31,2.79,18.74,34.19,58.51,73.74,50.06
6806.45,2798.53,773.33,564.21,1224.23,877.54,2305.34,2840.82,1995.12,12067.86,1788.96,656.54,11.17,43.11,181.11,197.24,275.15,229.86
6089.08,2892.04,781.32,571.87,1200.79,775.10,2271.53,2776.11,1987.68,11965.45,1685.10,607.84,8.38,35.61,133.98,163.27,206.96,184.74
6059.62,2913.47,783.10,573.57,1179.15,775.10,2288.67,2770.27,1983.37,12144.38,1707.86,582.55,6.51,29.99,100.72,120.80,161.76,133.26
6095.88,2943.66,790.20,579.52,1191.77,783.07,2307.72,2784.65,1989.24,12296.64,1739.95,590.05,6.51,29.05,95.17,114.19,155.41,124.80
6100.42,2956.33,791.98,581.23,1193.58,785.35,2306.77,2784.65,1989.24,12337.99,1746.95,592.86,6.51,29.05,94.25,113.25,153.83,123.39
6111.75,2960.22,791.09,581.23,1202.59,788.76,2306.77,2779.26,1986.11,12382.43,1750.45,588.17,6.51,29.05,91.48,111.36,152.24,121.28
6118.55,2972.89,793.75,583.78,1208.00,795.59,2311.53,2783.30,1989.24,12402.92,1755.70,590.98,6.51,28.11,90.55,109.48,151.45,119.87
6135.55,2981.65,796.42,584.63,1213.41,796.73,2312.96,2786.90,1992.37,12402.14,1759.20,594.73,6.51,28.11,88.70,109.48,151.45,118.46
6158.21,2990.42,797.31,586.33,1222.42,800.14,2317.72,2790.49,1993.94,12431.51,1768.54,601.29,6.51,28.11,88.70,109.48,151.45,119.16
6178.61,3001.13,799.97,588.89,1228.73,806.97,2319.62,2793.19,1995.51,12472.09,1781.96,605.97,6.51,28.11,88.70,110.42,153.04,119.16
