610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
3701.27,2527.73,649.92,452.73,887.07,555.43,477.16,778.28,1401.48,9696.18,991.92,407.41,4.65,18.74,26.80,51.91,72.95,40.90
3699.01,2525.78,649.92,453.58,888.87,554.29,478.12,780.08,1403.43,9689.22,994.26,407.41,4.65,18.74,26.80,51.91,73.74,40.90
3704.67,2521.89,650.81,453.58,889.77,554.29,479.54,781.43,1405.39,9688.45,995.42,408.35,4.65,18.74,27.72,51.91,73.74,40.90
3709.21,2521.89,650.81,453.58,889.77,555.43,481.45,785.02,1407.35,9708.93,997.76,410.22,4.65,18.74,26.80,51.91,73.74,40.90
3709.21,2521.89,650.81,453.58,890.67,556.57,482.88,786.82,1407.35,9707.00,997.76,411.16,4.65,18.74,26.80,51.91,73.74,40.90
3711.47,2519.94,650.81,453.58,890.67,555.43,484.31,789.07,1408.13,9714.73,1000.67,412.10,4.65,18.74,26.80,51.91,73.74,40.90
3714.87,2520.91,651.70,454.43,891.58,556.57,486.21,791.31,1409.31,9720.53,1002.42,412.10,4.65,18.74,26.80,51.91,73.74,40.90
3718.27,2520.91,651.70,454.43,891.58,556.57,488.12,793.56,1410.48,9729.41,1004.17,413.03,4.65,18.74,26.80,51.91,73.74,40.90
3718.27,2516.04,651.70,454.43,891.58,556.57,489.54,795.81,1411.66,9735.98,1005.34,413.97,4.65,18.74,26.80,51.91,73.74,40.90
3718.27,2518.96,650.81,453.58,892.48,556.57,490.02,796.71,1412.44,9729.80,1007.09,413.97,4.65,18.74,27.72,51.91,73.74,40.90
3719.41,2514.09,651.70,454.43,892.48,556.57,491.93,799.40,1412.83,9747.96,1008.26,415.84,4.65,18.74,27.72,51.91,73.74,40.90
3719.41,2517.99,651.70,454.43,892.48,556.57,492.88,800.30,1412.05,9750.67,1008.26,415.84,4.65,18.74,27.72,51.91,73.74,40.90
3720.54,2516.04,651.70,454.43,893.38,556.57,494.31,802.55,1414.01,9749.90,1010.59,416.78,4.65,18.74,27.72,51.91,73.74,40.90
3720.54,2515.07,651.70,454.43,893.38,556.57,495.26,803.90,1414.79,9742.94,1011.76,416.78,4.65,18.74,27.72,51.91,73.74,40.90
3720.54,2515.07,651.70,454.43,893.38,556.57,496.21,805.24,1414.40,9759.17,1012.93,417.72,4.65,18.74,27.72,51.91,73.74,40.90
3723.94,2514.09,651.70,454.43,893.38,557.71,497.64,807.04,1415.18,9764.19,1013.51,418.65,4.65,18.74,27.72,51.91,73.74,40.90
3723.94,2515.07,651.70,454.43,893.38,557.71,498.59,808.39,1416.36,9766.13,1014.68,418.65,4.65,18.74,27.72,51.91,73.74,40.90
3726.21,2513.12,651.70,454.43,894.28,557.71,499.55,810.19,1417.14,9773.47,1015.84,419.59,4.65,18.74,27.72,51.91,73.74,40.90
3725.07,2510.20,650.81,453.58,893.38,557.71,499.55,810.64,1416.36,9779.65,1015.84,419.59,4.65,18.74,27.72,51.91,73.74,40.90
