610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
6335.00,3114.13,831.05,608.46,1208.90,816.08,2667.73,3189.52,2194.82,ovf,2152.47,728.66,6.51,27.18,85.93,108.53,142.73,112.11
6335.00,3114.13,831.05,608.46,1208.90,816.08,2667.73,3189.97,2195.21,ovf,2153.05,729.60,6.51,27.18,85.93,108.53,142.73,112.11
6333.87,3113.15,830.16,607.61,1208.00,816.08,2666.30,3190.42,2196.39,14233.94,2154.80,731.47,6.51,27.18,85.93,108.53,142.73,112.11
6335.00,3114.13,831.05,608.46,1208.90,816.08,2669.64,3195.36,2197.56,ovf,2155.97,732.41,6.51,27.18,85.93,108.53,142.73,112.11
6332.74,3114.13,831.05,608.46,1208.90,816.08,2665.83,3191.32,2194.82,ovf,2153.64,732.41,6.51,27.18,85.93,108.53,141.93,112.11
6337.27,3115.10,831.05,608.46,1208.90,817.21,2671.07,3197.61,2199.52,ovf,2158.31,733.34,6.51,27.18,85.93,108.53,141.93,112.11
6335.00,3114.13,831.05,608.46,1208.00,817.21,2671.54,3198.95,2199.91,14233.94,2159.47,734.28,6.51,27.18,85.93,107.59,141.93,111.41
6335.00,3114.13,831.05,608.46,1208.90,817.21,2673.45,3202.10,2201.87,ovf,2161.22,736.15,6.51,27.18,85.01,107.59,141.93,111.41
6332.74,3115.10,831.05,608.46,1208.00,816.08,2671.54,3200.75,2201.87,ovf,2161.81,737.09,6.51,27.18,85.01,107.59,141.93,111.41
6331.60,3114.13,831.05,608.46,1208.00,816.08,2672.02,3202.10,2201.87,ovf,2161.22,737.09,6.51,27.18,85.01,107.59,141.93,111.41
6337.27,3115.10,831.05,608.46,1208.00,817.21,2674.40,3204.80,2204.22,ovf,2163.56,737.09,6.51,27.18,85.01,107.59,141.93,111.41
6344.07,3115.10,834.60,611.01,1217.01,817.21,2684.88,3227.26,2219.10,ovf,2187.48,750.20,6.51,27.18,85.01,108.53,141.93,112.11
6372.40,3143.35,837.26,613.56,1221.52,824.04,2731.07,3303.21,2260.22,ovf,2254.00,787.67,6.51,27.18,85.93,110.42,146.69,112.82
6036.95,2728.39,763.57,559.10,1235.04,770.55,2265.33,2796.78,1942.25,12500.30,2070.20,695.88,12.10,44.98,187.57,205.74,288.63,244.67
5889.63,2634.88,744.03,543.78,1229.64,761.44,2240.10,2769.37,1919.15,12463.59,2088.87,700.56,12.10,45.92,188.50,204.79,287.83,242.55
5962.16,2662.15,756.46,553.99,1242.26,773.96,2332.48,2859.24,1987.68,12243.70,1798.30,672.47,12.10,44.98,184.80,206.68,291.01,227.04
6043.75,2833.59,773.33,567.61,1223.33,779.65,2277.72,2779.26,1974.75,12002.55,1704.94,616.27,10.24,38.42,158.01,173.65,245.81,195.31
6030.15,2882.30,774.22,567.61,1198.08,777.38,2274.38,2758.59,1964.18,11977.04,1696.77,597.54,8.38,33.74,121.97,141.56,193.48,156.53
