610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
5908.89,3197.90,813.29,553.14,880.76,686.32,200.96,480.36,2050.33,13075.35,1010.59,314.69,5.58,32.80,38.81,75.50,103.87,64.16
5913.43,3198.87,813.29,553.14,879.86,686.32,208.58,486.20,2052.68,13042.50,1008.84,313.76,5.58,32.80,38.81,75.50,103.87,64.16
5888.49,3195.95,813.29,552.29,877.15,685.19,206.68,482.16,2045.24,13037.09,1001.84,313.76,5.58,32.80,38.81,75.50,103.87,64.16
5869.23,3188.16,810.62,550.59,874.45,681.77,201.44,476.77,2033.88,12986.85,994.84,310.95,5.58,32.80,38.81,75.50,103.87,64.16
5863.56,3191.08,811.51,551.44,873.55,681.77,199.53,474.52,2037.41,13019.70,998.34,312.82,5.58,32.80,38.81,75.50,103.87,64.16
5852.23,3181.34,808.85,548.89,870.84,680.63,193.82,470.47,2025.66,12963.66,989.59,310.95,5.58,32.80,38.81,74.56,103.87,63.46
5857.90,3180.36,807.96,548.89,871.74,679.49,193.82,474.07,2028.79,12960.18,995.42,310.95,5.58,32.80,38.81,74.56,103.87,64.16
5880.56,3181.34,808.85,549.74,873.55,680.63,193.34,475.87,2031.53,12990.33,998.92,311.88,5.58,32.80,38.81,75.50,103.87,64.16
5903.23,3179.39,809.74,549.74,876.25,681.77,193.82,479.01,2034.67,13029.36,1004.17,314.69,5.58,32.80,38.81,75.50,103.87,64.16
5922.49,3186.21,810.62,551.44,878.96,684.05,196.68,482.61,2042.11,13026.66,1011.18,313.76,5.58,32.80,38.81,75.50,103.87,64.16
5932.69,3184.26,809.74,550.59,877.15,684.05,194.77,479.91,2038.97,13030.13,1005.34,312.82,5.58,32.80,38.81,75.50,103.87,64.16
5945.16,3191.08,812.40,552.29,880.76,684.05,195.72,484.40,2047.59,13062.21,1014.68,315.63,5.58,32.80,38.81,75.50,103.87,64.16
