610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm




















16722.60,11024.61,ovf,ovf,ovf,14122.56,3126.80,3651.45,4908.88,14098.68,6369.89,17612.44,2326.50,3008.19,5043.24,2134.77,1206.84,482.29
4851.55,2110.83,575.34,434.86,1151.21,976.56,1879.60,2259.80,1629.77,9077.08,1496.63,501.07,13.96,56.23,154.31,183.09,275.94,217.88
4854.95,2140.05,585.11,444.22,1131.37,951.52,1871.51,2256.21,1642.30,8480.00,1407.95,473.91,13.96,57.17,158.93,188.75,285.46,223.52
4840.21,2132.26,582.44,443.37,1142.19,941.28,1864.84,2251.72,1638.38,8449.86,1418.45,476.72,13.96,56.23,156.16,187.81,279.90,221.40
4805.08,2131.28,585.99,444.22,1136.78,928.76,1869.60,2264.75,1650.91,8482.32,1435.37,471.10,14.89,58.10,162.63,188.75,290.21,223.52
4887.81,2125.44,586.88,444.22,1149.40,937.86,1864.37,2264.30,1650.13,8525.99,1444.70,498.26,14.89,58.10,164.47,195.36,293.38,230.57
4878.75,2124.46,586.88,444.22,1145.80,933.31,1862.94,2263.40,1650.91,8507.44,1442.95,496.39,14.89,58.10,164.47,195.36,293.38,231.27
4873.08,2119.59,585.99,443.37,1144.90,933.31,1859.60,2259.35,1648.17,8496.23,1441.20,495.45,14.89,58.10,164.47,195.36,292.59,230.57
4867.41,2116.67,585.11,443.37,1143.99,933.31,1857.22,2257.11,1645.82,8484.25,1439.45,495.45,14.89,58.10,163.55,195.36,292.59,230.57
4865.15,2113.75,585.11,442.51,1144.90,933.31,1854.84,2254.41,1643.87,8470.73,1438.29,495.45,14.89,58.10,163.55,195.36,291.80,229.86
4861.75,2110.83,584.22,442.51,1144.90,933.31,1852.46,2252.16,1642.30,8464.93,1437.70,495.45,14.89,58.10,163.55,195.36,291.80,229.16
4858.35,2107.90,584.22,441.66,1143.99,933.31,1850.56,2250.37,1640.34,8461.07,1436.54,495.45,14.89,58.10,163.55,195.36,291.80,229.16
