610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm
8070.05,2856.97,789.32,558.25,1151.21,810.39,3114.90,3732.34,2335.40,12669.96,1672.85,656.54,14.89,64.66,189.42,300.11,336.20,244.67
8079.11,2856.97,789.32,558.25,1151.21,810.39,3122.51,3737.28,2334.62,12678.84,1671.68,657.48,14.89,64.66,189.42,300.11,336.20,244.67
8081.38,2856.00,789.32,558.25,1151.21,810.39,3120.61,3739.53,2336.18,12663.77,1669.93,657.48,14.89,64.66,189.42,301.06,337.00,245.37
8083.65,2855.02,789.32,557.40,1151.21,810.39,3121.09,3741.33,2337.75,12662.61,1670.51,658.42,15.82,64.66,190.35,302.95,338.58,246.08
8083.65,2853.07,788.43,557.40,1151.21,810.39,3122.51,3744.47,2336.18,12657.20,1668.76,658.42,15.82,64.66,191.27,303.89,339.37,246.78
8090.45,2851.13,788.43,557.40,1150.30,810.39,3122.99,3748.07,2338.93,12654.11,1667.60,658.42,15.82,65.60,192.19,304.83,340.96,247.49
8087.05,2852.10,788.43,557.40,1150.30,809.25,3124.90,3748.52,2339.32,12640.20,1666.43,658.42,15.82,65.60,193.12,306.72,341.75,248.20
8085.91,2850.15,787.54,556.55,1149.40,808.11,3121.56,3744.92,2339.32,12607.35,1664.09,657.48,15.82,65.60,194.04,306.72,342.55,248.20
8085.91,2850.15,788.43,557.40,1150.30,808.11,3126.32,3752.11,2340.49,12616.24,1662.93,658.42,15.82,65.60,194.04,306.72,342.55,248.90
8089.31,2849.18,788.43,556.55,1148.50,808.11,3124.42,3749.86,2339.71,12608.51,1660.59,658.42,15.82,65.60,194.04,306.72,342.55,248.90
8092.71,2849.18,788.43,557.40,1150.30,809.25,3128.23,3753.91,2341.67,12597.30,1660.59,658.42,15.82,65.60,194.97,307.66,344.13,249.61
8089.31,2848.20,788.43,557.40,1149.40,806.97,3125.37,3751.66,2344.41,12569.09,1658.84,657.48,15.82,65.60,194.97,307.66,344.93,249.61
8081.38,2846.25,787.54,556.55,1148.50,806.97,3132.04,3760.20,2343.62,12580.30,1657.68,658.42,15.82,66.54,196.81,310.50,346.51,251.02
8087.05,2846.25,787.54,556.55,1148.50,806.97,3135.37,3762.45,2342.45,12580.69,1655.34,659.35,15.82,65.60,196.81,310.50,346.51,251.02
8090.45,2844.31,787.54,556.55,1147.60,806.97,3137.75,3765.59,2346.37,12574.12,1657.68,659.35,15.82,66.54,196.81,311.44,347.30,251.72
8091.58,2842.36,786.65,556.55,1147.60,805.83,3139.18,3770.53,2348.32,12571.80,1657.09,659.35,15.82,66.54,197.74,311.44,348.10,252.43
8096.11,2841.38,786.65,555.70,1148.50,805.83,3141.56,3773.23,2349.11,12562.52,1655.93,660.29,15.82,66.54,198.66,312.38,348.89,253.13
8098.38,2840.41,786.65,555.70,1147.60,805.83,3144.42,3775.48,2349.89,12559.82,1655.34,661.23,15.82,66.54,199.59,313.33,349.68,253.84
8096.11,2839.44,785.76,555.70,1146.70,804.69,3152.52,3779.52,2349.50,12550.93,1653.59,661.23,15.82,66.54,200.51,314.27,351.27,254.54
8099.51,2837.49,785.76,554.85,1146.70,804.69,3153.94,3780.87,2347.93,12547.06,1653.01,661.23,15.82,67.47,201.43,316.16,352.85,254.54
8107.44,2835.54,785.76,554.85,1145.80,804.69,3155.37,3779.97,2347.54,12542.04,1650.67,662.16,15.82,67.47,201.43,317.10,352.85,255.95
8106.31,2837.49,785.76,554.85,1146.70,804.69,3158.71,3783.57,2349.50,12524.65,1650.67,661.23,15.82,67.47,202.36,317.10,354.44,255.95
8105.18,2837.49,785.76,554.85,1146.70,803.56,3152.52,3779.07,2348.71,12503.01,1648.34,660.29,15.82,67.47,202.36,317.10,354.44,255.95
8117.64,2838.46,786.65,555.70,1147.60,804.69,3160.61,3788.06,2351.46,12525.42,1648.92,661.23,15.82,67.47,202.36,317.10,354.44,255.95
8111.98,2836.51,786.65,555.70,1146.70,803.56,3160.14,3785.81,2348.71,12519.24,1646.01,661.23,15.82,67.47,203.28,317.10,354.44,255.95
8115.38,2834.57,785.76,554.85,1145.80,803.56,3169.18,3794.80,2353.41,12514.60,1648.34,662.16,15.82,67.47,203.28,317.10,354.44,256.66
8125.58,2834.57,786.65,555.70,1146.70,803.56,3170.14,3799.74,2355.76,12489.09,1646.59,661.23,15.82,67.47,203.28,317.10,355.23,256.66
8134.64,2835.54,786.65,554.85,1147.60,804.69,3174.42,3804.68,2358.50,12507.26,1646.59,662.16,15.82,67.47,204.21,318.05,356.82,257.36
8140.31,2834.57,786.65,555.70,1147.60,804.69,3177.28,3806.03,2358.11,12505.71,1647.76,663.10,15.82,67.47,204.21,318.99,356.82,258.07
8143.71,2833.59,786.65,555.70,1147.60,804.69,3175.85,3806.93,2358.90,12495.67,1646.01,663.10,15.82,67.47,205.13,318.99,357.61,258.07
8144.84,2832.62,785.76,554.85,1147.60,804.69,3176.33,3806.48,2358.90,12492.19,1646.01,663.10,15.82,67.47,205.13,318.99,357.61,258.07
8150.51,2831.64,785.76,554.85,1147.60,804.69,3182.04,3813.67,2361.25,12500.30,1646.01,664.04,15.82,67.47,205.13,319.93,358.41,258.77
8159.58,2831.64,786.65,554.85,1148.50,804.69,3182.52,3813.22,2362.42,12493.73,1646.01,664.97,15.82,67.47,205.13,320.88,359.20,259.48
8161.84,2830.67,784.88,553.99,1148.50,803.56,3186.80,3819.96,2365.94,12485.62,1647.17,665.91,15.82,67.47,206.05,320.88,359.20,259.48
8155.04,2829.70,785.76,554.85,1148.50,804.69,3191.56,3825.36,2367.90,12487.94,1645.42,665.91,15.82,67.47,206.05,320.88,359.99,259.48
8159.58,2828.72,785.76,553.99,1146.70,804.69,3192.99,3828.50,2369.08,12499.53,1646.59,667.78,15.82,68.41,206.05,321.82,359.99,260.18
8162.98,2826.77,785.76,554.85,1148.50,804.69,3194.90,3831.20,2370.64,12499.53,1648.34,667.78,15.82,68.41,206.98,322.76,360.78,260.18
8165.24,2826.77,785.76,554.85,1148.50,803.56,3190.61,3828.05,2371.04,12477.89,1647.76,667.78,15.82,68.41,206.98,322.76,361.58,260.18
8165.24,2826.77,785.76,554.85,1148.50,804.69,3195.37,3836.59,2373.78,12484.07,1647.17,668.72,15.82,68.41,207.90,323.71,362.37,260.89
8169.77,2826.77,785.76,554.85,1148.50,804.69,3196.80,3838.39,2371.04,12487.16,1645.42,668.72,15.82,68.41,207.90,324.65,362.37,261.59
