Time,Grams,Blood Accumulated,Water Accumulated,Delta,Delta of Delta
1.5572e+09,0.1,0.09434,0.1003,0,0
1.5572e+09,0,0.09434,0.1003,0,0
1.5572e+09,-0.3,0.09434,0.1003,0,0
1.5572e+09,-0.1,0.09434,0.1003,0,0
1.5572e+09,-0.1,0.09434,0.1003,0,0
1.5572e+09,-0.2,0.09434,0.1003,0,0
1.5572e+09,-0.2,0.09434,0.1003,0,0
1.5572e+09,-0.2,0.09434,0.1003,0,0
1.5572e+09,-0.1,0.09434,0.1003,0,0
1.5572e+09,0.3,0.28302,0.3009,0.18868,0.18868
1.5572e+09,-0.6,0.28302,0.3009,0,-0.18868
1.5572e+09,-0.2,0.28302,0.3009,0,0
1.5572e+09,-0.1,0.28302,0.3009,0,0
1.5572e+09,-0.8,0.28302,0.3009,0,0
1.5572e+09,-0.8,0.28302,0.3009,0,0
1.5572e+09,-0.1,0.28302,0.3009,0,0
1.5572e+09,-0.1,0.28302,0.3009,0,0
1.5572e+09,0.3,0.28302,0.3009,0,0
1.5572e+09,1,0.9434,1.003,0.66038,0.66038
1.5572e+09,1.3,1.2264,1.3039,0.28302,-0.37736
1.5572e+09,0.6,1.2264,1.3039,0,-0.28302
1.5572e+09,1.1,1.5094,1.6048,0.28302,0.28302
1.5572e+09,1.3,1.5094,1.6048,0,-0.28302
1.5572e+09,2.7,2.5472,2.7081,1.0377,1.0377
1.5572e+09,5.6,5.283,5.6169,2.7358,1.6981
1.5572e+09,6.9,6.5094,6.9208,1.2264,-1.5094
1.5572e+09,7.8,7.3585,7.8235,0.84906,-0.37736
1.5572e+09,8.5,8.0189,8.5256,0.66038,-0.18868
1.5572e+09,9.2,8.6792,9.2277,0.66038,-2.6645e-15
1.5572e+09,10.2,9.6226,10.231,0.9434,0.28302
1.5572e+09,10.1,10.755,11.434,1.1321,0.18868
1.5572e+09,11.5,10.849,11.535,0.09434,-1.0377
1.5572e+09,11.6,10.943,11.635,0.09434,0
1.5572e+09,11.4,10.943,11.635,0,-0.09434
1.5572e+09,11.6,10.943,11.635,0,0
1.5572e+09,12.1,11.415,12.136,0.4717,0.4717
1.5572e+09,11.7,11.415,12.136,0,-0.4717
1.5572e+09,11.9,11.415,12.136,0,0
1.5572e+09,11.9,11.415,12.136,0,0
1.5572e+09,12.4,11.698,12.437,0.28302,0.28302
1.5572e+09,12.3,11.887,12.638,0.18868,-0.09434
1.5572e+09,12.6,11.887,12.638,0,-0.18868
1.5572e+09,12,11.887,12.638,0,0
1.5572e+09,12.3,11.887,12.638,0,0
1.5572e+09,11.6,11.887,12.638,0,0
1.5572e+09,12.2,11.887,12.638,0,0
1.5572e+09,12.4,11.887,12.638,0,0
1.5572e+09,12.7,11.981,12.738,0.09434,0.09434
1.5572e+09,13.1,12.358,13.139,0.37736,0.28302
1.5572e+09,13,12.358,13.139,0,-0.37736
1.5572e+09,12.8,12.358,13.139,0,0
1.5572e+09,13.6,12.83,13.641,0.4717,0.4717
1.5572e+09,13.4,12.83,13.641,0,-0.4717
1.5572e+09,13.3,12.83,13.641,0,0
1.5572e+09,12.9,12.83,13.641,0,0
1.5572e+09,13.3,12.83,13.641,0,0
1.5572e+09,13.2,12.83,13.641,0,0
1.5572e+09,13.1,12.83,13.641,0,0
1.5572e+09,13.9,13.113,13.942,0.28302,0.28302
1.5572e+09,14,13.208,14.042,0.09434,-0.18868
1.5572e+09,14.3,13.491,14.343,0.28302,0.18868
1.5572e+09,14.5,13.679,14.544,0.18868,-0.09434
1.5572e+09,14.7,13.868,14.744,0.18868,0
1.5572e+09,14.8,13.962,14.845,0.09434,-0.09434
1.5572e+09,14.8,13.962,14.845,0,-0.09434
1.5572e+09,14.7,14.057,14.945,0.09434,0.09434
1.5572e+09,14.8,14.057,14.945,0,-0.09434
1.5572e+09,13.5,14.057,14.945,0,0
1.5572e+09,13.9,14.057,14.945,0,0
1.5572e+09,11.6,14.057,14.945,0,0
1.5572e+09,12.9,14.057,14.945,0,0
1.5572e+09,13,14.057,14.945,0,0
1.5572e+09,12.8,14.057,14.945,0,0
1.5572e+09,12.8,14.057,14.945,0,0
1.5572e+09,14.1,14.057,14.945,0,0
1.5572e+09,14.8,14.057,14.945,0,0
1.5572e+09,14.7,14.057,14.945,0,0
1.5572e+09,16.8,15.849,16.851,1.7925,1.7925
1.5572e+09,18,16.981,18.054,1.1321,-0.66038
1.5572e+09,18.9,17.83,18.957,0.84906,-0.28302
