,count,mean,std,min,25%,50%,75%,max
channel_1,158.0,4688.542278481015,2205.9624247571933,1864.24,2306.495,5043.07,6619.735000000001,9947.88
channel_2,158.0,3096.309367088609,286.87637267353165,2647.54,2792.9224999999997,3225.66,3358.62,3543.69
channel_3,158.0,793.175506329114,85.4655819542966,673.89,704.97,807.96,877.21,985.53
channel_4,158.0,545.3558227848101,76.72456795357445,445.07,469.9625,540.38,622.2824999999999,684.2
channel_5,158.0,917.6568987341773,231.34158917367995,625.64,674.995,921.33,1119.8825,1353.14
channel_6,158.0,675.115126582278,153.35707225249342,462.1,507.91499999999996,696.565,803.56,959.49
channel_7,158.0,492.8240506329114,843.6341225926059,75.72,81.19749999999999,112.38499999999999,345.61249999999995,2915.36
channel_8,158.0,707.8500632911392,959.7660252875047,127.62,142.89,290.955,750.1975,3481.15
channel_9,158.0,1875.3231012658234,517.9047399299541,1157.91,1306.9075,2077.54,2294.5800000000004,3098.6
channel_10,158.0,11771.935696202529,1172.1199929135794,9814.43,10900.76,11249.54,12660.007499999998,14166.7
channel_11,158.0,1069.4366455696204,413.0798320887683,719.44,763.345,918.99,1230.2775000000001,2070.2
channel_12,158.0,332.4098734177216,104.92373890579356,198.56,226.88500000000002,325.46000000000004,396.40749999999997,530.11
channel_13,158.0,3.0372151898734274,0.41215276590477656,2.79,2.79,2.79,3.72,3.72
channel_14,158.0,17.61829113924045,0.631964073233037,16.87,16.87,17.81,17.81,19.68
channel_15,158.0,25.61936708860757,3.7122317499079447,23.1,24.02,24.02,25.64,39.73
channel_16,158.0,50.30050632911391,4.066251939752294,47.19,47.19,48.13,52.85,59.46
channel_17,158.0,66.50575949367094,4.971592844024582,61.85,62.64,64.23,71.36,80.09
channel_18,158.0,39.33613924050634,4.601322535535843,35.96,36.67,37.37,40.19,51.47
